noga1995;noga2002
75.14;75.14
75.14A;75.14A
75.2;75.2
75.21;75.21
75.21A;75.21A
75.22;75.22
75.22A;75.22A
75.22B;75.22B
75.23;75.23
75.23A;75.23A
75.23B;75.23B
75.24;75.24
75.24A;75.24A
75.25;75.25
75.25A;75.25A
75.3;75.3
75.3;75.3
75.30A;75.30A
75.30B;75.30B
75.30B;75.30C
80;80
80.1;80.1
80.1;80.1
80.10A;80.10A
80.10B;80.10B
80.10C;80.10C
80.10D;80.10D
80.2;80.2
80.21;80.21
80.21A;80.21A
80.21B;80.21B
80.21C;80.21C
80.22;80.22
80.22A;80.22A
80.3;80.3
80.3;80.3
80.30A;80.30A
80.30B;80.30B
80.30C;80.30C
80.30D;80.30C
80.4;80.4
80.41;80.41
80.41A;80.41A
80.42;80.42
80.42A;80.42A
80.42B;80.42B
80.42C;80.42C
80.42D;80.42D
80.42E;80.42E
85;85
85.1;85.1
85.11;85.11
85.11A;85.11A
85.11B;85.11B
85.11C;85.11B
85.11D;85.11B
85.12;85.12
85.12A;85.12A
85.13;85.13
85.13A;85.13A
85.14;85.14
85.14A;85.14A
85.14B;85.14B
85.14C;85.14C
85.14D;85.12B
85.14E;85.14D
85.14F;85.14D
85.14G;85.14E
85.14H;85.14F
85.2;85.2
85.2;85.2
85.20A;85.20A
85.3;85.3
85.31;85.31
85.31A;85.31A
85.31B;85.31B
85.31C;85.31B
85.31D;85.31C
85.31E;85.31D
85.31F;85.31E
85.31G;85.31F
85.31H;85.31G
85.31I;85.31H
85.32;85.32
85.32A;85.32A
85.32B;85.32B
85.32C;85.32C
85.32D;85.32D
90;90
90;90
90;90.01
90;90.02
90;90.03
90.00A;90.02A
90.00B;90.01A
90.00C;90.03A
91;91
91.1;91.1
91.11;91.11
91.11A;91.11A
91.12;91.12
91.12A;91.12A
91.2;91.2
91.2;91.2
91.20A;91.20A
91.3;91.3
91.31;91.31
91.31A;91.31A
91.31A;91.31B
91.32;91.32
91.32A;91.32A
91.33;91.33
91.33A;91.33A
91.33B;91.33B
91.33C;91.33C
91.33D;91.33D
92;92
92.1;92.1
92.11;92.11
92.11A;92.11A
92.12;92.12
92.12A;92.12A
92.13;92.13
92.13A;92.13A
92.2;92.2
92.2;92.2
92.20A;92.20A
92.20B;92.20B
92.3;92.3
92.31;92.31
92.31A;92.31A
92.31B;92.31B
92.31C;92.31C
92.31D;92.31D
92.32;92.32
92.32A;92.32A
92.32B;92.32B
92.33;92.33
92.33A;92.33A
92.34;92.34
92.34A;92.34A
92.34B;55.40B
92.34C;92.34A
92.34D;92.34A
92.4;92.4
92.4;92.4
92.40A;92.40A
92.40B;92.40B
92.5;92.5
92.51;92.51
92.51A;92.51A
92.52;92.52
92.52A;92.52A
92.53;92.53
92.53A;92.53A
92.6;92.6
92.61;92.61
92.61A;92.61A
92.62;92.62
92.62A;92.62A
92.62B;92.62B
92.7;92.7
92.71;92.71
92.71A;92.71A
92.72;92.72
92.72A;92.72A
93;93
93;93
93.01;93.01
93.01A;93.01A
93.02;93.02
93.02A;93.02A
93.02B;93.02B
93.03;93.03
93.03A;93.03A
93.04;93.04
93.04A;93.04A
93.04B;93.04B
93.04C;93.04C
93.05;93.05
93.05A;93.05A
95;95
95;95
95;95
95.00A;95.00A
99;99
99;99
99;99
99.00A;99.00A
99.00B;99.00B
99.00C;99.00C
