noga2008;noga2002;p
274000;31.62A;0.047707101
274000;31.61A;0.00739645
275100;29.71A;1
275200;29.72A;1
279000;31.20A;0.786774194
279000;31.62A;0.13483871
279000;32.10A;0.049139785
279000;29.43A;0.029247312
279000;31.30A;0
281100;29.11A;1
281100;29.12A;0
281100;34.30A;0
281200;29.12A;0.986988848
281200;29.13A;0.013011152
281300;29.12A;1
281400;29.13A;1
281500;29.14A;1
282100;29.21A;0.705732484
282100;29.72A;0.25477707
282100;29.71A;0.039490446
282200;29.22A;1
282200;35.50A;0
282300;30.01A;0.76904474
282300;36.12A;0.23095526
282300;32.30A;0
282400;29.41A;1
282500;29.23A;0.927508855
282500;29.71A;0.072491145
282900;29.24A;0.994595066
282900;33.20A;0.005404934
282900;29.43A;0
283000;29.32A;0.954672246
283000;29.31A;0.045327755
283000;29.53A;0
284100;29.42A;1
284100;28.62A;0
284900;29.43A;0.622440273
284900;28.62A;0.278868032
284900;31.62A;0.098691695
289100;29.51A;1
289200;29.52A;0.873189686
289200;28.62A;0.126810314
289200;34.10A;0
289300;29.53A;1
289400;29.54A;0.709119011
289400;29.54B;0.290880989
289400;29.56A;0
289500;29.55A;1
289600;29.56B;1
289901;29.56A;1
289902;29.56B;0.844325153
289902;35.30A;0.073619632
289902;33.20A;0.042944785
289902;36.50A;0.032208589
289902;31.62A;0.006901841
289902;33.40B;0
289902;33.40C;0
289902;36.63A;0
291000;34.10A;1
292000;34.20A;1
293100;31.61A;1
293200;34.30A;0.973158981
293200;36.11A;0.026841019
301100;35.11A;0.739130435
301100;36.11A;0.260869565
301200;35.12A;1
302000;35.20A;1
302000;31.62A;0
302000;36.11A;0
303000;35.30A;1
303000;29.60A;0
303000;36.11A;0
304000;29.60A;1
309100;34.10A;0.55
309100;35.41A;0.45
309201;35.42A;1
309201;36.63A;0
309202;35.43A;1
309900;35.50A;1
310100;36.12A;0.859019545
310100;36.11A;0.140980455
310100;35.50A;0
310200;36.13A;1
310200;36.11A;0
310300;36.15A;1
310900;36.14A;0.785755094
310900;36.14B;0.11350219
310900;36.11A;0.100742716
321100;36.21A;1
321201;36.22A;1
321202;36.22B;0.649537513
321202;33.50D;0.350462487
321300;36.61A;1
321300;33.50D;0
322000;36.30A;1
323000;36.40A;1
324000;36.50A;1
325001;33.10A;0.934106729
325001;17.40C;0.032946636
325001;24.42A;0.019025522
325001;29.24A;0.013457077
325001;33.20A;0.000464037
325001;25.13A;0
325002;33.10B;1
325003;33.10C;1
325004;33.40A;1
329100;36.62A;1
329900;36.63A;0.603678434
329900;28.75A;0.193117769
329900;25.24A;0.167012756
329900;18.24A;0.014239098
329900;36.40A;0.011272619
329900;33.10A;0.010679324
329900;18.10A;0
329900;18.24B;0
329900;19.20A;0
329900;20.51A;0
329900;20.52A;0
329900;22.11A;0
329900;25.13A;0
331100;28.21A;0.863733906
331100;28.63A;0.080472103
331100;28.62A;0.030042919
331100;28.75A;0.013948498
331100;29.60A;0.005364807
331100;28.22A;0.003218884
331100;28.30A;0.003218884
331100;28.11A;0
331100;28.61A;0
331100;28.71A;0
331100;34.20A;0
331100;35.50A;0
331200;29.32A;0.41786802
331200;29.21A;0.13786802
331200;29.22A;0.100507614
331200;29.12A;0.08142132
331200;29.24A;0.078781726
331200;29.31A;0.039593909
331200;29.23A;0.038984772
331200;29.43A;0.031675127
331200;29.56B;0.019086294
331200;28.52A;0.017258883
331200;29.11A;0.017258883
331200;72.50A;0.012385787
331200;29.41A;0.002436548
331200;29.52A;0.002233503
331200;29.53A;0.001218274
331200;29.56A;0.000812183
331200;29.54A;0.000406091
331200;29.42A;0.000203046
331200;28.52B;0
331200;28.52C;0
331200;29.13A;0
331200;29.14A;0
331200;29.51A;0
331200;29.54B;0
331200;29.55A;0
331300;29.24A;0.394618834
331300;33.20A;0.242152466
331300;33.10A;0.167414051
331300;32.10A;0.076233184
331300;32.30A;0.049327354
331300;32.20A;0.020926756
331300;33.50B;0.016442451
331300;33.40C;0.014947683
331300;33.40B;0.00896861
331300;31.62A;0.005979073
331300;31.10A;0.002989537
331400;31.10A;0.735973597
331400;31.62A;0.207920792
331400;31.61A;0.028052805
331400;31.20A;0.018151815
331400;33.20A;0.00660066
331400;33.10A;0.00330033
331400;29.71A;0
331500;35.12A;0.926415094
331500;35.11A;0.073584906
331600;35.30A;1
331700;35.20A;0.993581515
331700;35.50A;0.003851091
331700;35.43A;0.002567394
331900;36.30A;0.931506849
331900;36.50A;0.068493151
331900;17.40C;0
331900;17.52A;0
331900;20.40A;0
331900;20.51A;0
331900;25.13A;0
331900;25.21A;0
331900;25.24A;0
331900;26.15A;0
331900;26.40A;0
331900;26.81A;0
332000;33.30A;0.996726678
332000;28.11A;0.003273322
332000;25.21A;0
332000;26.15A;0
332000;26.40A;0
332000;26.81A;0
351100;40.11A;1
351200;40.12A;1
351300;40.13A;1
351400;40.13A;1
352100;40.21A;1
352200;40.22A;1
352300;40.22A;1
353000;40.30A;1
360000;41.00A;1
370000;90.01A;1
381100;90.02A;0.994725738
381100;90.03A;0.005274262
381200;90.02A;1
381200;23.30A;0
381200;40.11A;0
382100;90.02A;1
382100;14.50A;0
382100;24.15A;0
382200;90.02A;1
382200;23.30A;0
383100;37.10A;1
383200;37.20A;0.703776776
383200;37.10A;0.296223224
390000;90.03A;1
411000;70.11A;1
412001;45.21A;1
412001;25.23A;0
412001;28.11A;0
412001;45.23B;0
412002;45.21B;1
412003;45.21E;1
412004;45.21F;1
421100;45.23A;1
421200;45.23C;0.681394406
421200;45.21C;0.163761654
421200;45.21E;0.15484394
421200;45.21F;0
