ngae1985;noga1995;p
5275;5145A;0.197
5281;5147F;1
5282;5147G;0.762
5282;5142A;0.238
5283;5147H;1
5284;5147J;1
5285;5147J;1
5286;5147I;1
5287;5147J;1
5290;5170A;1
5311;5170A;1
5312;5170A;1
5320;5157A;1
5410;5111A;0.706
5410;5112A;0.176
5410;5113A;0.118
5420;5116A;1
5430;5117A;1
5440;5010A;0.193
5440;5114A;0.661
5440;5118A;0.146
5450;5115A;0.109
5450;5116A;0.081
5450;5118A;0.313
5450;5119A;0.497
5511;5248A;1
5512;5248B;1
5513;5248C;1
5521;5222A;1
5522;5227A;1
5523;5221A;1
5524;5224A;1
5525;5227B;0.737
5525;5223A;0.263
5526;5225A;1
5527;5226A;1
5528;5227B;1
5531;5241A;1
5532;5242B;1
5533;5242A;1
5534;5242C;1
5535;5242E;1
5536;5242A;0.694
5536;5242B;0.039
5536;5242E;0.267
5537;5241A;1
5538;5242D;1
5539;5243A;1
5541;5241A;0.098
5541;5242E;0.889
5541;5243A;0.013
5551;5244C;0.161
5551;5244A;0.839
5552;5241A;1
5553;5248E;0.398
5553;5244B;0.602
5554;5244C;0.243
5554;5241A;0.757
5555;5244C;1
5561;5247C;1
5562;5247A;1
5563;5247B;1
5564;5247B;1
5571;5248D;1
5572;5050A;1
5581;5246B;0.267
5581;5246A;0.733
5582;5244C;0.176
5582;5245A;0.607
5582;5245E;0.217
5583;5244C;1
5584;5244C;1
5585;5248E;0.266
5585;5246B;0.734
5586;5245A;1
5587;5244C;0.345
5587;5245A;0.113
5587;5245E;0.003
5587;5246B;0.539
5591;5030B;0.607
5591;5010B;0.393
5592;5248L;0.374
5592;5040A;0.626
5593;5248M;0.275
5593;5010B;0.725
5594;5040A;0.456
5594;5010B;0.544
5595;5246B;1
5611;5248G;0.23
5611;5248F;0.77
5612;5245B;1
5613;5248H;1
5614;7140A;0.274
5614;5245C;0.726
5615;5245D;1
5616;5248G;0.166
5616;5245E;0.834
5621;5248I;1
5622;5248I;1
5623;5248J;1
5624;5248J;0.073
5624;5248I;0.927
5631;5231A;1
5632;5233A;0.778
5632;5233B;0.208
5632;5248P;0.014
5633;5232A;1
5641;5248K;1
5642;5248M;1
5643;5243B;1
5644;5250A;1
5645;5248P;1
5646;5248N;1
5647;5248P;0.668
5647;5248M;0.332
5648;5248O;1
5649;5250B;1
5650;5248P;1
5661;5212A;0.318
5661;5212B;0.145
5661;5246B;0.536
5662;5211A;0.359
5662;5211B;0.232
5662;5211C;0.241
5662;5211D;0.157
5662;5211E;0.011
5663;5212B;0.169
5663;5212A;0.831
5664;5212B;0.2
5664;5212A;0.8
5711;5512A;0.041
5711;5511A;0.959
5712;8511B;0.375
5712;5511A;0.625
5713;5523A;1
5714;5521A;1
5715;5522A;1
5716;5523B;0.205
5716;5521A;0.795
5721;5540A;0.025
5721;5530A;0.975
5722;9234B;0.746
5722;5540A;0.254
5723;5540A;0.03
5723;5530A;0.97
5731;5552A;0.088
5731;5551A;0.912
5732;5512A;1
5733;5511A;0.246
5733;5512A;0.013
5733;5523C;0.03
5733;5530A;0.711
5811;5272A;1
5812;5273A;1
5813;5272A;0.964
5813;3340C;0.036
5814;5271A;1
5815;5274A;0.34
5815;5271A;0.66
5816;9231D;0.378
5816;3614B;0.622
5821;5020A;1
5822;5274A;0.27
5822;5040A;0.73
5823;2931A;0.195
5823;2932A;0.352
5823;5166A;0.454
5824;7250A;1
6110;6010A;1
6121;6021C;1
6122;6021C;1
6123;6021C;1
6211;6021A;1
6212;6021B;0.304
6212;6021A;0.696
6213;6021B;1
6214;6023A;1
6215;6023A;0.019
6215;6022A;0.981
6220;6024A;1
6230;6321A;1
6241;6030A;1
6311;3511A;0.004
6311;3512A;0.006
6311;6110A;0.283
6311;6120A;0.706
6312;6120B;0.715
6312;6110A;0.285
6320;6322A;1
6410;6220A;0.079
6410;6210A;0.921
6420;6323A;1
6511;6311A;0.016
6511;6340A;0.906
6511;6412A;0.077
6512;7482A;1
6513;6312A;1
6514;6312A;1
6521;6330A;1
6522;6340A;1
6611;6021B;0.01
6611;6411A;0.958
6611;6512L;0.032
6612;6420A;1
6620;6420A;1
7111;6512A;.
7111;6511A;.
7112;6512B;1
7113;6512C;1
7114;6512D;1
7115;6512E;1
7116;6512F;0.588
7116;6512G;0.277
7116;6512K;0.018
7116;6522A;0.117
7117;6512I;0.123
7117;6512H;0.877
7118;6512J;1
7121;6523B;0.553
7121;6523A;0.447
7122;6523C;1
7123;6713A;1
7124;6523C;1
7125;6522B;1
7126;6711A;0.287
7126;6712A;0.419
7126;6712B;0.295
7127;6713A;0.403
7127;6522B;0.597
7211;6601A;1
7212;6603A;1
7213;6603B;1
7214;6603C;1
7215;6602A;1
7216;6603D;1
7220;6720A;1
7310;7011A;0.052
7310;7012A;0.078
7310;7020B;0.87
7320;7032A;0.748
7320;7031A;0.252
7412;7132A;0.276
7412;7133A;0.551
7412;7134A;0.173
7413;7110A;0.835
7413;7121A;0.082
7413;7122A;0.031
7413;7123A;0.052
7414;7140A;1
7415;7134A;0.474
7415;7140A;0.423
7415;9272A;0.103
7421;6521A;1
7422;6521A;1
7511;7484D;0.079
7511;7412A;0.921
7512;7414A;1
7513;7411A;1
7514;7411B;1
7515;7414A;1
7521;7420A;1
7522;7420C;1
7523;7420D;1
7524;7420D;1
7525;7420E;1
7526;7420F;1
7527;7420G;1
7528;7420B;1
7529;7420H;1
7531;7420H;1
7541;7413A;1
7542;9240A;1
7543;7484C;1
7544;7460A;1
7545;7483B;0.671
7545;7483A;0.329
7546;7450A;0.89
7546;7484D;0.082
7546;9272A;0.028
7547;7440A;0.567
7547;7440B;0.181
7547;7484A;0.021
7547;7484B;0.231
7548;7440B;1
7549;7484D;0.423
7549;7415A;0.577
7551;7240A;0.633
7551;7230A;0.367
7552;7220A;0.581
7552;7210A;0.419
7553;7220A;1
7554;7250A;1
7611;9301A;1
7612;9301A;1
7621;9302A;1
7622;9302B;0.892
7622;9304A;0.082
7622;9304C;0.026
7623;9304C;0.434
7623;9304A;0.566
7631;7470A;1
7632;7470B;1
7633;7470C;1
7634;5020A;1
7635;7470C;1
7641;9303A;1
7642;9303A;1
7651;0142A;1
7652;0142A;1
7661;7481A;1
7662;7484D;1
7663;9305A;1
7664;9305A;0.882
7664;9232B;0.118
8110;8010A;1
8121;8010B;1
8122;8021A;1
8123;8010C;1
8124;8010D;1
8131;8021B;1
8132;8021B;1
8133;8021C;1
8134;8022A;1
8135;8022A;1
8136;8022A;1
8137;8022A;1
8138;8022A;1
8139;8022A;1
8141;8030A;1
8142;8030C;1
8143;8030D;0.048
8143;8030C;0.952
8144;8030D;0.362
8144;8030C;0.638
8145;8030C;1
8146;8030D;0.745
8146;8030B;0.255
8151;8042E;1
8152;9234A;0.072
8152;8042B;0.928
8153;8042A;0.013
8153;8042C;0.985
8153;8042E;0.002
8154;8042E;0.098
8154;8042A;0.902
8155;8042A;0.425
8155;8042D;0.564
8155;8042E;0.011
8156;8042E;1
8157;8042E;1
8158;8042E;1
8159;8042E;0.284
8159;8042A;0.716
8161;8042E;1
8162;8041A;1
8163;8042E;0.085
8163;8042A;0.915
8164;8532D;1
8211;7310A;1
8212;7430A;0.262
8212;7310A;0.738
8213;7430A;1
8214;7320A;0.049
8214;7310A;0.951
8220;7320A;0.177
8220;7310A;0.823
8311;8512A;1
8312;8513A;1
8321;8514A;1
8322;8514D;0.416
8322;8514F;0.46
